system arguments: ['/home/pt1290/latent_circuit_inference/src/run_LCI.py', '0.0082221_CDDM;relu;N=96;lmbdo=0.3;lmbdr=0.3;lr=0.002;maxiter=3000']
0.0082221_CDDM;relu;N=96;lmbdo=0.3;lmbdr=0.3;lr=0.002;maxiter=3000 0
seed: 647419
Using cuda for RNN!
Using cuda for Latent Circuit!
setting projection of RNN traces on the lower subspace
iteration 0, train loss: [92m3.763215[0m, validation loss: [92m3.250403[0m
iteration 271, train loss: 0.422831, validation loss: 0.258955
iteration 272, train loss: 0.424019, validation loss: 0.251005
iteration 273, train loss: 0.422652, validation loss: 0.237767
iteration 274, train loss: 0.402254, validation loss: [92m0.220494[0m
iteration 275, train loss: 0.434638, validation loss: 0.260464
iteration 276, train loss: 0.435308, validation loss: 0.24872
iteration 277, train loss: 0.416809, validation loss: 0.223951
iteration 278, train loss: 0.421346, validation loss: 0.230679
iteration 279, train loss: 0.408215, validation loss: 0.225273
iteration 280, train loss: 0.394032, validation loss: 0.25181
iteration 281, train loss: 0.419315, validation loss: 0.244054
iteration 282, train loss: 0.411764, validation loss: 0.224328
iteration 283, train loss: 0.415632, validation loss: 0.224857
iteration 284, train loss: 0.451633, validation loss: 0.229889
iteration 285, train loss: 0.395164, validation loss: 0.261992
iteration 286, train loss: 0.448156, validation loss: 0.233906
iteration 287, train loss: 0.421309, validation loss: 0.221315
iteration 288, train loss: [92m0.387589[0m, validation loss: 0.231221
iteration 289, train loss: 0.40105, validation loss: 0.225749
iteration 290, train loss: [92m0.385758[0m, validation loss: 0.271655
iteration 291, train loss: 0.449444, validation loss: 0.222645
iteration 292, train loss: 0.429089, validation loss: 0.225247
iteration 293, train loss: 0.401527, validation loss: 0.237425
iteration 294, train loss: 0.418121, validation loss: [92m0.214654[0m
iteration 295, train loss: 0.399586, validation loss: 0.241755
iteration 296, train loss: 0.400765, validation loss: 0.243662
iteration 297, train loss: 0.437361, validation loss: 0.21617
iteration 298, train loss: 0.404325, validation loss: 0.21815
iteration 299, train loss: 0.416269, validation loss: [92m0.213296[0m
iteration 300, train loss: [92m0.362489[0m, validation loss: 0.246426
iteration 301, train loss: 0.447597, validation loss: [92m0.206763[0m
iteration 302, train loss: 0.378265, validation loss: 0.218715
iteration 303, train loss: 0.408651, validation loss: 0.216947
iteration 304, train loss: 0.409885, validation loss: 0.21267
iteration 305, train loss: 0.389118, validation loss: 0.261989
iteration 306, train loss: 0.417027, validation loss: 0.237054
iteration 307, train loss: 0.413533, validation loss: 0.20925
iteration 308, train loss: 0.395406, validation loss: 0.244931
iteration 309, train loss: 0.449763, validation loss: 0.241176
iteration 310, train loss: 0.436563, validation loss: 0.286506
iteration 311, train loss: 0.452559, validation loss: 0.250509
iteration 312, train loss: 0.397413, validation loss: 0.243662
iteration 313, train loss: 0.437354, validation loss: 0.216059
iteration 314, train loss: 0.397745, validation loss: 0.215681
iteration 315, train loss: 0.42172, validation loss: 0.232457
iteration 316, train loss: 0.396778, validation loss: 0.209491
iteration 317, train loss: 0.406483, validation loss: 0.209345
iteration 318, train loss: 0.391285, validation loss: 0.226176
iteration 319, train loss: 0.38367, validation loss: 0.235927
iteration 320, train loss: 0.439817, validation loss: [92m0.202026[0m
iteration 321, train loss: 0.38481, validation loss: 0.230051
iteration 322, train loss: 0.403943, validation loss: [92m0.199434[0m
iteration 323, train loss: 0.388957, validation loss: 0.25227
iteration 324, train loss: 0.44117, validation loss: 0.280718
iteration 325, train loss: 0.444325, validation loss: 0.20045
iteration 326, train loss: 0.393983, validation loss: 0.20877
iteration 327, train loss: 0.414043, validation loss: 0.209562
iteration 328, train loss: 0.411139, validation loss: 0.218894
iteration 329, train loss: 0.386479, validation loss: 0.219119
iteration 330, train loss: 0.410587, validation loss: 0.220386
iteration 331, train loss: 0.409089, validation loss: [92m0.199218[0m
iteration 332, train loss: 0.400653, validation loss: 0.235482
iteration 333, train loss: 0.417526, validation loss: 0.235566
iteration 334, train loss: 0.411236, validation loss: 0.232764
iteration 335, train loss: 0.411914, validation loss: 0.278307
iteration 336, train loss: 0.460192, validation loss: 0.212199
iteration 337, train loss: 0.385139, validation loss: 0.284911
iteration 338, train loss: 0.46853, validation loss: 0.232948
iteration 339, train loss: 0.419214, validation loss: 0.228661
iteration 340, train loss: 0.418335, validation loss: 0.273493
iteration 341, train loss: 0.442212, validation loss: 0.246226
iteration 342, train loss: 0.397169, validation loss: 0.230183
iteration 343, train loss: 0.394854, validation loss: 0.261862
iteration 344, train loss: 0.435393, validation loss: 0.219542
iteration 345, train loss: 0.388838, validation loss: 0.20844
iteration 346, train loss: 0.381837, validation loss: 0.231709
iteration 347, train loss: 0.398589, validation loss: 0.227485
iteration 348, train loss: 0.430159, validation loss: 0.218527
iteration 349, train loss: 0.397777, validation loss: 0.210031
iteration 350, train loss: 0.403801, validation loss: [92m0.190753[0m
iteration 351, train loss: 0.383581, validation loss: 0.212125
iteration 352, train loss: 0.376749, validation loss: 0.213257
iteration 353, train loss: 0.390003, validation loss: 0.191012
iteration 354, train loss: 0.400246, validation loss: 0.198424
iteration 355, train loss: 0.374918, validation loss: 0.211237
iteration 356, train loss: 0.375542, validation loss: 0.202705
iteration 357, train loss: 0.376041, validation loss: 0.203321
iteration 358, train loss: 0.379103, validation loss: [92m0.19073[0m
iteration 359, train loss: 0.37327, validation loss: 0.225651
iteration 360, train loss: 0.385683, validation loss: 0.227091
iteration 361, train loss: 0.380162, validation loss: 0.200215
iteration 362, train loss: [92m0.352613[0m, validation loss: 0.196631
iteration 363, train loss: 0.417431, validation loss: 0.194147
iteration 364, train loss: 0.420163, validation loss: 0.220873
iteration 365, train loss: 0.399509, validation loss: 0.203604
iteration 366, train loss: 0.38716, validation loss: 0.200725
iteration 367, train loss: 0.380743, validation loss: 0.231991
iteration 368, train loss: 0.3913, validation loss: 0.24703
iteration 369, train loss: 0.402753, validation loss: 0.250404
iteration 370, train loss: 0.393643, validation loss: 0.228914
iteration 371, train loss: 0.423285, validation loss: 0.202553
iteration 372, train loss: 0.366889, validation loss: 0.21978
iteration 373, train loss: 0.388742, validation loss: 0.238503
iteration 374, train loss: 0.416914, validation loss: 0.285816
iteration 375, train loss: 0.443504, validation loss: 0.243789
iteration 376, train loss: 0.408947, validation loss: 0.211881
iteration 377, train loss: 0.391657, validation loss: 0.200017
iteration 378, train loss: 0.410112, validation loss: 0.229636
iteration 379, train loss: 0.368782, validation loss: 0.289856
iteration 380, train loss: 0.431896, validation loss: 0.221891
iteration 381, train loss: 0.376957, validation loss: 0.200693
iteration 382, train loss: 0.375595, validation loss: 0.22823
iteration 383, train loss: 0.41295, validation loss: 0.194997
iteration 384, train loss: 0.393717, validation loss: 0.226237
iteration 385, train loss: 0.393423, validation loss: 0.240329
iteration 386, train loss: 0.37483, validation loss: 0.202658
iteration 387, train loss: 0.378526, validation loss: [92m0.188213[0m
iteration 388, train loss: 0.405169, validation loss: 0.204812
iteration 389, train loss: 0.411931, validation loss: 0.2312
iteration 390, train loss: 0.37019, validation loss: 0.20417
iteration 391, train loss: 0.406094, validation loss: 0.227462
iteration 392, train loss: 0.380054, validation loss: 0.211651
iteration 393, train loss: 0.402733, validation loss: 0.203165
iteration 394, train loss: 0.355207, validation loss: 0.214395
iteration 395, train loss: 0.393722, validation loss: [92m0.182047[0m
iteration 396, train loss: 0.37567, validation loss: 0.191292
iteration 397, train loss: 0.382662, validation loss: 0.200473
iteration 398, train loss: 0.399738, validation loss: 0.198173
iteration 399, train loss: 0.357391, validation loss: 0.204584
iteration 400, train loss: 0.383445, validation loss: 0.18598
iteration 401, train loss: 0.383461, validation loss: 0.184622
iteration 402, train loss: 0.353257, validation loss: 0.197255
iteration 403, train loss: 0.391322, validation loss: 0.20632
iteration 404, train loss: 0.37848, validation loss: 0.220048
iteration 405, train loss: 0.373771, validation loss: 0.187052
iteration 406, train loss: [92m0.342404[0m, validation loss: 0.18791
iteration 407, train loss: 0.381797, validation loss: 0.212924
iteration 408, train loss: 0.406391, validation loss: 0.233982
iteration 409, train loss: 0.374454, validation loss: 0.246863
iteration 410, train loss: 0.399896, validation loss: [92m0.180473[0m
iteration 411, train loss: 0.358439, validation loss: 0.206513
iteration 412, train loss: 0.394612, validation loss: 0.181128
iteration 413, train loss: 0.408391, validation loss: 0.227095
iteration 414, train loss: 0.365769, validation loss: 0.318517
iteration 415, train loss: 0.437085, validation loss: 0.228681
iteration 416, train loss: 0.385207, validation loss: 0.181929
iteration 417, train loss: 0.38641, validation loss: 0.208357
iteration 418, train loss: 0.409052, validation loss: 0.18973
iteration 419, train loss: 0.373997, validation loss: 0.218931
iteration 420, train loss: 0.376364, validation loss: 0.253423
iteration 421, train loss: 0.404952, validation loss: 0.210853
iteration 422, train loss: 0.387682, validation loss: 0.181828
iteration 423, train loss: 0.355044, validation loss: 0.204567
iteration 424, train loss: 0.389392, validation loss: 0.187879
iteration 425, train loss: 0.381079, validation loss: 0.201986
iteration 426, train loss: 0.395276, validation loss: 0.249391
iteration 427, train loss: 0.399778, validation loss: 0.246213
iteration 428, train loss: 0.392916, validation loss: 0.213836
iteration 429, train loss: 0.373979, validation loss: 0.190724
iteration 430, train loss: 0.369221, validation loss: 0.211501
iteration 431, train loss: 0.361664, validation loss: 0.214027
iteration 432, train loss: 0.394474, validation loss: 0.225616
iteration 433, train loss: 0.381151, validation loss: 0.241885
iteration 434, train loss: 0.394683, validation loss: 0.190773
iteration 435, train loss: 0.351025, validation loss: 0.181692
iteration 436, train loss: 0.377535, validation loss: 0.191806
iteration 437, train loss: 0.379948, validation loss: 0.187083
iteration 438, train loss: 0.371149, validation loss: 0.209775
iteration 439, train loss: 0.383254, validation loss: 0.214533
iteration 440, train loss: 0.379186, validation loss: 0.196081
iteration 441, train loss: 0.363708, validation loss: 0.192041
iteration 442, train loss: 0.374393, validation loss: [92m0.18008[0m
iteration 443, train loss: 0.380841, validation loss: 0.181945
iteration 444, train loss: 0.365731, validation loss: 0.197923
iteration 445, train loss: [92m0.332545[0m, validation loss: 0.202956
iteration 446, train loss: 0.377179, validation loss: 0.189828
iteration 447, train loss: 0.366379, validation loss: [92m0.169515[0m
iteration 448, train loss: 0.375209, validation loss: 0.174942
iteration 449, train loss: 0.390674, validation loss: [92m0.168843[0m
iteration 450, train loss: 0.363084, validation loss: 0.212427
iteration 451, train loss: 0.357888, validation loss: 0.230883
iteration 452, train loss: 0.377058, validation loss: 0.208728
iteration 453, train loss: 0.415017, validation loss: 0.187079
iteration 454, train loss: 0.358414, validation loss: 0.218836
iteration 455, train loss: 0.356487, validation loss: 0.187689
iteration 456, train loss: 0.381806, validation loss: 0.203391
iteration 457, train loss: 0.397505, validation loss: 0.216984
iteration 458, train loss: 0.390366, validation loss: 0.227374
iteration 459, train loss: 0.393428, validation loss: 0.204196
iteration 460, train loss: 0.37694, validation loss: 0.193364
iteration 461, train loss: 0.409411, validation loss: 0.185591
iteration 462, train loss: 0.373549, validation loss: 0.202936
iteration 463, train loss: 0.364375, validation loss: 0.234971
iteration 464, train loss: 0.403126, validation loss: 0.217997
iteration 465, train loss: 0.351887, validation loss: 0.18055
iteration 466, train loss: 0.366103, validation loss: 0.200969
iteration 467, train loss: 0.388119, validation loss: 0.185782
iteration 468, train loss: 0.398453, validation loss: 0.197085
iteration 469, train loss: 0.38458, validation loss: 0.213862
iteration 470, train loss: 0.400561, validation loss: 0.178328
iteration 471, train loss: 0.36749, validation loss: 0.177655
iteration 472, train loss: 0.352709, validation loss: 0.172806
iteration 473, train loss: 0.358909, validation loss: 0.187176
iteration 474, train loss: 0.357536, validation loss: 0.235329
iteration 475, train loss: 0.406959, validation loss: 0.191442
iteration 476, train loss: 0.355668, validation loss: 0.170663
iteration 477, train loss: 0.395826, validation loss: 0.172142
iteration 478, train loss: 0.353237, validation loss: 0.199421
iteration 479, train loss: 0.374428, validation loss: 0.180756
iteration 480, train loss: 0.349881, validation loss: 0.173264
iteration 481, train loss: 0.358655, validation loss: 0.185224
iteration 482, train loss: 0.368088, validation loss: 0.182243
iteration 483, train loss: 0.349235, validation loss: 0.203698
iteration 484, train loss: 0.375882, validation loss: 0.181901
iteration 485, train loss: 0.3605, validation loss: 0.182298
iteration 486, train loss: 0.38908, validation loss: 0.183336
iteration 487, train loss: 0.350323, validation loss: 0.200254
iteration 488, train loss: [92m0.329986[0m, validation loss: 0.201153
iteration 489, train loss: 0.351713, validation loss: 0.180216
iteration 490, train loss: 0.362383, validation loss: 0.170293
iteration 491, train loss: 0.364579, validation loss: 0.170408
iteration 492, train loss: 0.333592, validation loss: 0.170225
iteration 493, train loss: 0.366154, validation loss: 0.183919
iteration 494, train loss: 0.390204, validation loss: 0.209705
iteration 495, train loss: 0.37659, validation loss: 0.189156
iteration 496, train loss: 0.3695, validation loss: 0.186277
iteration 497, train loss: 0.362841, validation loss: 0.169012
iteration 498, train loss: 0.337278, validation loss: 0.202019
iteration 499, train loss: 0.391137, validation loss: 0.186136
iteration 500, train loss: 0.358665, validation loss: 0.186048
iteration 501, train loss: 0.361983, validation loss: 0.190643
iteration 502, train loss: [92m0.329179[0m, validation loss: 0.184967
iteration 503, train loss: 0.358897, validation loss: 0.189662
iteration 504, train loss: 0.34032, validation loss: 0.17353
iteration 505, train loss: 0.361344, validation loss: 0.186954
iteration 506, train loss: 0.356778, validation loss: 0.1987
iteration 507, train loss: 0.378236, validation loss: 0.205593
iteration 508, train loss: 0.377942, validation loss: 0.208841
iteration 509, train loss: 0.34841, validation loss: [92m0.168777[0m
iteration 510, train loss: 0.356343, validation loss: 0.18186
iteration 511, train loss: 0.373472, validation loss: 0.171982
iteration 512, train loss: 0.386418, validation loss: 0.223628
iteration 513, train loss: 0.37077, validation loss: 0.240669
iteration 514, train loss: 0.401535, validation loss: 0.173186
iteration 515, train loss: 0.363682, validation loss: 0.214728
iteration 516, train loss: 0.411752, validation loss: 0.186599
iteration 517, train loss: 0.383718, validation loss: 0.215993
iteration 518, train loss: 0.355393, validation loss: 0.288441
iteration 519, train loss: 0.410703, validation loss: 0.20001
iteration 520, train loss: 0.398001, validation loss: 0.192057
iteration 521, train loss: 0.397462, validation loss: 0.213889
iteration 522, train loss: 0.43061, validation loss: 0.196762
iteration 523, train loss: 0.34986, validation loss: 0.283866
iteration 524, train loss: 0.412312, validation loss: 0.22661
iteration 525, train loss: 0.39062, validation loss: 0.179198
iteration 526, train loss: 0.413009, validation loss: 0.195962
iteration 527, train loss: 0.40426, validation loss: 0.172816
iteration 528, train loss: 0.378987, validation loss: 0.224158
iteration 529, train loss: 0.376126, validation loss: 0.233622
iteration 530, train loss: 0.423179, validation loss: 0.171211
iteration 531, train loss: 0.343545, validation loss: 0.201297
iteration 532, train loss: 0.38095, validation loss: 0.186179
iteration 533, train loss: 0.367202, validation loss: 0.204694
iteration 534, train loss: 0.388203, validation loss: 0.245575
iteration 535, train loss: 0.373487, validation loss: 0.219034
iteration 536, train loss: 0.370872, validation loss: [92m0.16749[0m
iteration 537, train loss: 0.353591, validation loss: 0.172146
iteration 538, train loss: 0.396281, validation loss: 0.170492
iteration 539, train loss: 0.363373, validation loss: 0.202592
iteration 540, train loss: 0.360866, validation loss: 0.203736
iteration 541, train loss: 0.369472, validation loss: 0.173069
iteration 542, train loss: 0.375776, validation loss: [92m0.164405[0m
iteration 543, train loss: 0.370217, validation loss: 0.16906
iteration 544, train loss: 0.346708, validation loss: 0.190058
iteration 545, train loss: 0.349705, validation loss: 0.214887
iteration 546, train loss: 0.355549, validation loss: 0.185311
iteration 547, train loss: [92m0.326372[0m, validation loss: 0.164423
iteration 548, train loss: 0.355019, validation loss: 0.184758
iteration 549, train loss: 0.414254, validation loss: 0.171567
iteration 550, train loss: 0.361377, validation loss: 0.217379
iteration 551, train loss: 0.375225, validation loss: 0.206269
iteration 552, train loss: 0.369529, validation loss: 0.190827
iteration 553, train loss: 0.364976, validation loss: 0.179824
iteration 554, train loss: 0.37531, validation loss: 0.167057
iteration 555, train loss: 0.370557, validation loss: 0.203437
iteration 556, train loss: 0.36516, validation loss: 0.201673
iteration 557, train loss: 0.359255, validation loss: 0.178289
iteration 558, train loss: 0.327982, validation loss: 0.171032
iteration 559, train loss: 0.369634, validation loss: 0.180993
iteration 560, train loss: 0.361044, validation loss: 0.197967
iteration 561, train loss: 0.39797, validation loss: 0.186312
iteration 562, train loss: 0.349713, validation loss: 0.168972
iteration 563, train loss: 0.333176, validation loss: 0.176086
iteration 564, train loss: 0.366749, validation loss: 0.166042
iteration 565, train loss: 0.339317, validation loss: 0.179652
iteration 566, train loss: 0.366372, validation loss: 0.197153
iteration 567, train loss: 0.369278, validation loss: 0.177855
iteration 568, train loss: 0.328977, validation loss: [92m0.162159[0m
iteration 569, train loss: 0.353764, validation loss: [92m0.16209[0m
iteration 570, train loss: 0.366503, validation loss: 0.190202
iteration 571, train loss: 0.339081, validation loss: 0.195442
iteration 572, train loss: 0.342487, validation loss: 0.203844
iteration 573, train loss: 0.375592, validation loss: 0.197874
iteration 574, train loss: 0.362117, validation loss: 0.163386
iteration 575, train loss: 0.356684, validation loss: 0.205758
iteration 576, train loss: 0.405667, validation loss: 0.180398
iteration 577, train loss: 0.358128, validation loss: 0.181203
iteration 578, train loss: 0.35144, validation loss: 0.20804
iteration 579, train loss: 0.360978, validation loss: 0.193783
iteration 580, train loss: 0.35731, validation loss: 0.17163
iteration 581, train loss: 0.347367, validation loss: 0.191534
iteration 582, train loss: 0.383998, validation loss: 0.178911
iteration 583, train loss: 0.357721, validation loss: 0.166286
iteration 584, train loss: 0.364994, validation loss: 0.170235
iteration 585, train loss: 0.341047, validation loss: 0.170423
iteration 586, train loss: 0.363678, validation loss: 0.19481
iteration 587, train loss: 0.36326, validation loss: 0.191784
iteration 588, train loss: 0.332898, validation loss: 0.172519
iteration 589, train loss: 0.333416, validation loss: 0.165721
iteration 590, train loss: 0.34691, validation loss: 0.171356
iteration 591, train loss: 0.363728, validation loss: 0.174634
iteration 592, train loss: 0.351295, validation loss: 0.192417
iteration 593, train loss: 0.340098, validation loss: 0.191185
iteration 594, train loss: 0.353675, validation loss: 0.162655
iteration 595, train loss: 0.33009, validation loss: 0.166475
iteration 596, train loss: 0.330826, validation loss: 0.167853
iteration 597, train loss: 0.345006, validation loss: 0.180793
iteration 598, train loss: 0.350983, validation loss: 0.182239
iteration 599, train loss: 0.343986, validation loss: 0.177131
MSE: 0.45144365
Total R2: -1.0026370374457687
Projected R2: -1.1123057938704846
Plotting random trials
Analyzing fixed points
Calculating Line Attractor analytics
Analyzing points on a line attractor in motion context...
Analyzing points on a line attractor in color context...
0.0082221_CDDM;relu;N=96;lmbdo=0.3;lmbdr=0.3;lr=0.002;maxiter=3000 2
seed: 353750
Using cuda for RNN!
Using cuda for Latent Circuit!
setting projection of RNN traces on the lower subspace
iteration 0, train loss: [92m3.45657[0m, validation loss: [92m2.917351[0m
iteration 1, train loss: [92m2.995976[0m, validation loss: [92m2.595123[0m
iteration 2, train loss: [92m2.671115[0m, validation loss: [92m2.374122[0m
iteration 3, train loss: [92m2.45127[0m, validation loss: [92m2.224941[0m
iteration 4, train loss: [92m2.308667[0m, validation loss: [92m2.120394[0m
iteration 5, train loss: [92m2.208238[0m, validation loss: [92m2.03999[0m
iteration 6, train loss: [92m2.126008[0m, validation loss: [92m1.973902[0m
iteration 7, train loss: [92m2.057631[0m, validation loss: [92m1.918354[0m
iteration 8, train loss: [92m2.008861[0m, validation loss: [92m1.871513[0m
iteration 9, train loss: [92m1.956511[0m, validation loss: [92m1.83163[0m
iteration 10, train loss: [92m1.914898[0m, validation loss: [92m1.797045[0m
iteration 11, train loss: [92m1.882417[0m, validation loss: [92m1.766181[0m
iteration 12, train loss: [92m1.844142[0m, validation loss: [92m1.736421[0m
iteration 13, train loss: [92m1.815279[0m, validation loss: [92m1.706679[0m
iteration 14, train loss: [92m1.786785[0m, validation loss: [92m1.677326[0m
iteration 15, train loss: [92m1.758212[0m, validation loss: [92m1.649857[0m
iteration 16, train loss: [92m1.730712[0m, validation loss: [92m1.624997[0m
iteration 17, train loss: [92m1.707171[0m, validation loss: [92m1.601863[0m
iteration 18, train loss: [92m1.681672[0m, validation loss: [92m1.580795[0m
iteration 19, train loss: [92m1.66207[0m, validation loss: [92m1.561542[0m
iteration 20, train loss: [92m1.650245[0m, validation loss: [92m1.542946[0m
iteration 21, train loss: [92m1.637983[0m, validation loss: [92m1.523436[0m
iteration 22, train loss: [92m1.613846[0m, validation loss: [92m1.502578[0m
iteration 23, train loss: [92m1.594161[0m, validation loss: [92m1.481414[0m
iteration 24, train loss: [92m1.572071[0m, validation loss: [92m1.461531[0m
iteration 25, train loss: [92m1.550238[0m, validation loss: [92m1.443746[0m
iteration 26, train loss: [92m1.539097[0m, validation loss: [92m1.427362[0m
iteration 27, train loss: [92m1.510897[0m, validation loss: [92m1.410866[0m
iteration 28, train loss: [92m1.500758[0m, validation loss: [92m1.393359[0m
iteration 29, train loss: [92m1.481987[0m, validation loss: [92m1.375895[0m
iteration 30, train loss: [92m1.469022[0m, validation loss: [92m1.360015[0m
iteration 31, train loss: [92m1.450917[0m, validation loss: [92m1.346214[0m
iteration 32, train loss: [92m1.440681[0m, validation loss: [92m1.33387[0m
iteration 33, train loss: [92m1.422649[0m, validation loss: [92m1.322861[0m
iteration 34, train loss: [92m1.412638[0m, validation loss: [92m1.314144[0m
iteration 35, train loss: [92m1.401863[0m, validation loss: [92m1.306447[0m
iteration 36, train loss: [92m1.3
